2026-07-22 00:13:25,480 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:13:25,537 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:13:25,538 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:13:25,539 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:13:26,344 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:13:26,345 | INFO | scan_engine | ============================================================
2026-07-22 00:13:26,345 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:13:26,346 | INFO | scan_engine | Validation completed.
2026-07-22 00:13:26,346 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:13:26,367 | INFO | file_service | Files discovered: 30
2026-07-22 00:13:26,367 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:13:26,423 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:13:26,423 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:13:26,425 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:13:26,560 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:13:26,561 | INFO | scan_engine | ============================================================
2026-07-22 00:13:26,562 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:13:26,562 | INFO | scan_engine | Validation completed.
2026-07-22 00:13:26,563 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:13:26,583 | INFO | file_service | Files discovered: 30
2026-07-22 00:13:26,583 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:13:26,638 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:13:26,638 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:13:26,639 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:13:26,793 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:13:26,794 | INFO | scan_engine | ============================================================
2026-07-22 00:13:26,794 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:13:26,795 | INFO | scan_engine | Validation completed.
2026-07-22 00:13:26,795 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:13:26,816 | INFO | file_service | Files discovered: 30
2026-07-22 00:13:26,816 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:13:26,872 | INFO | scan_engine | Duplicate groups found: 4
